date,ensemble,dji
2017-09-29,1191231.3184289,1306500.0261381872
2017-10-02,1197971.665166214,1315393.2737959719
2017-10-03,1201408.6341374663,1320295.6359933428
2017-10-04,1202010.9719998247,1321460.1804935776
2017-10-05,1209697.0409652975,1328093.2437399041
2017-10-06,1210602.100524159,1327992.9049912775
2017-10-09,1208827.32432568,1327258.188456215
2017-10-10,1212433.6566964933,1331317.2951543445
2017-10-11,1215376.669644705,1333778.7265224697
2017-10-12,1214847.5623014166,1331919.6693217522
2017-10-13,1217266.067240305,1333710.5052847543
2017-10-16,1220359.0991046696,1338681.0887198404
2017-10-17,1229443.6415946751,1341041.497988043
2017-10-18,1236815.0064437657,1350380.8601502213
2017-10-19,1235578.201371237,1350698.0490434393
2017-10-20,1236707.8417519047,1360354.1445313047
2017-10-23,1235858.507311864,1357166.1968436688
2017-10-24,1238962.6357674077,1366950.9901589442
2017-10-25,1238381.3287895636,1360402.5485814367
2017-10-26,1238574.75289845,1364565.9802440861
2017-10-27,1238816.6242283296,1366509.5452217401
2017-10-30,1238429.7757126284,1361526.775355209
2017-10-31,1238356.522908444,1363188.6857070357
2017-11-01,1239053.3743996094,1366557.3798124588
2017-11-02,1241028.3985952802,1371295.2821312633
2017-11-03,1241280.8922085231,1372632.3728337337
2017-11-06,1242444.8747272918,1373170.6258712017
2017-11-07,1244988.8083568998,1373684.392153897
2017-11-08,1245011.936697888,1374041.7848816954
2017-11-09,1239930.366479115,1368127.721090624
2017-11-10,1236991.0822167478,1365811.0463053642
2017-11-13,1240296.0035179488,1366830.834222734
2017-11-14,1242869.044056111,1365068.12955475
2017-11-15,1234745.1259672362,1357009.8232887716
2017-11-16,1243108.0660994498,1367918.9572697016
2017-11-17,1241864.9583147855,1362080.7454724843
2017-11-20,1242501.8533928725,1366284.494861597
2017-11-21,1245652.7961411327,1375643.6742113584
2017-11-22,1243244.7909491393,1371873.7390033116
2017-11-24,1244960.9381424757,1373728.696096253
2017-11-27,1247627.3128636214,1375057.5865831717
2017-11-28,1261042.5391766403,1389981.6372117582
2017-11-29,1266232.820273015,1396044.3299097053
2017-11-30,1285842.9297732897,1415384.8799642196
2017-12-01,1281961.1765321167,1413008.0702649136
2017-12-04,1280295.0627013824,1416417.0820967995
2017-12-05,1277275.3423880583,1410037.0866137517
2017-12-06,1278267.094819928,1407720.2979366095
2017-12-07,1280280.2408897828,1411835.4394410094
2017-12-08,1288348.5837395142,1418697.6531552551
2017-12-11,1287431.7227394532,1422013.8431027702
2017-12-12,1292153.298423047,1428939.7223794246
2017-12-13,1296619.161376233,1433641.4070795423
2017-12-14,1290694.651938672,1429164.7727395678
2017-12-15,1297564.7999947022,1437508.1503878532
2017-12-18,1302313.5968544434,1445698.6851296038
2017-12-19,1301838.8307106446,1443514.9221714125
2017-12-20,1301534.2383873414,1441876.3596555318
2017-12-21,1298532.1661293458,1445120.797716969
2017-12-22,1297620.9835731934,1443474.7183368325
2017-12-26,1300229.7047035643,1443016.9868604075
2017-12-27,1303267.8161919068,1444654.9799168748
2017-12-28,1306731.587798352,1448340.8629155161
2017-12-29,1301291.1096336793,1441443.1149338796
2018-01-02,1301724.5179359864,1447553.6422225453
2018-01-03,1307036.301863904,1453307.3462428262
2018-01-04,1313971.4852244232,1462197.1771441314
2018-01-05,1328432.0827089583,1475069.0099390028
2018-01-08,1327425.7967798775,1474318.5763241327
2018-01-09,1332410.2056993835,1480313.1616762471
2018-01-10,1330700.1340992288,1479341.0944577134
2018-01-11,1338672.720331128,1491330.1512700596
2018-01-12,1347861.3132963283,1504652.1986771002
2018-01-16,1350971.346742404,1504049.8245096924
2018-01-17,1367608.4476200475,1522872.6220656184
2018-01-18,1368298.9091397123,1517167.3220954693
2018-01-19,1371727.04493826,1520310.9658407492
2018-01-22,1380048.431170787,1528642.6126251202
2018-01-23,1380851.3780155517,1528421.6623727528
2018-01-24,1379495.4525481248,1530830.4756910873
2018-01-25,1380224.5979143663,1539033.3107561658
2018-01-26,1380924.8401830655,1552090.787319779
2018-01-29,1380198.6039236127,1541756.0101031212
2018-01-30,1375099.2425803666,1520612.43765416
2018-01-31,1375004.884131209,1524840.1043386315
2018-02-01,1374918.9433166103,1527016.350432567
2018-02-02,1367191.094573084,1488194.7077403315
2018-02-05,1346700.2694318867,1419665.0508065994
2018-02-06,1346309.4264011064,1452729.4588301913
2018-02-07,1346072.9494447464,1451597.0318408676
2018-02-08,1338792.6058863164,1391366.5625049472
2018-02-09,1342345.8925822412,1410635.3606733836
2018-02-12,1345886.396342178,1434565.0702479437
2018-02-13,1346231.123167751,1436849.741414175
2018-02-14,1348745.6996110417,1451605.2320564191
2018-02-15,1351936.2729066366,1469500.152444285
2018-02-16,1351036.1053096063,1470608.776030132
2018-02-20,1348198.0618337097,1455760.5773953996
2018-02-21,1344976.2313394048,1446024.0742383737
2018-02-22,1346951.6226145306,1455628.2350277444
2018-02-23,1353808.5104160958,1475892.4482506607
2018-02-26,1361267.7562964214,1499175.479715457
2018-02-27,1353200.1907728463,1481725.9904806889
2018-02-28,1342951.4401306573,1459518.7817395322
2018-03-01,1335962.4391830864,1435014.7154006995
2018-03-02,1334272.1343956797,1430879.1872493026
2018-03-05,1342233.6973271295,1450513.0089016755
2018-03-06,1344081.2519047512,1451058.7788033995
2018-03-07,1341402.657725725,1446232.838059296
2018-03-08,1343479.81942681,1451705.570805046
2018-03-09,1355075.6645988375,1477393.998831697
2018-03-12,1351591.4726973334,1468231.28297953
2018-03-13,1349083.5973900864,1458225.994979418
2018-03-14,1344544.7376316004,1443711.3856690072
2018-03-15,1348234.5433316585,1450448.8877717361
2018-03-16,1349197.500865541,1454696.9411032046
2018-03-19,1337740.524001079,1435127.2405807711
2018-03-20,1340014.3186812776,1441912.463382336
2018-03-21,1337539.4462124854,1439290.7861353033
2018-03-22,1315732.903546508,1397047.945179737
2018-03-23,1301971.7772904155,1372283.0664296043
2018-03-26,1323674.0456814296,1411317.5730505383
2018-03-27,1313411.803926852,1391206.202734157
2018-03-28,1313719.3486902702,1390664.419048326
2018-03-29,1316644.0290880287,1405516.0344395386
2018-04-02,1304854.4128596922,1378755.2004457272
2018-04-03,1317002.3728533864,1401448.727525857
2018-04-04,1328623.8142546357,1414915.5315157631
2018-04-05,1332226.9212626158,1428964.2091341973
2018-04-06,1317495.8774768724,1395582.4983255046
2018-04-09,1319328.7318091532,1398284.6971335805
2018-04-10,1329301.75330173,1423295.0128908528
2018-04-11,1323042.3521006652,1410550.7390045645
